poeta poète
bailar baller
gordo gras
leconte leconte
estética esthétique
gmt gmt
rationalidad rationalité
ganadería élevage
paisley paisley
producción production
salvajemente sauvagement
multiplicidad multiplicité
piqueta pioche
aygo aygo
serenar rasséréner
tratar traiter
intersección intersection
malí mali
agradable agréable
resto restant
itinerario itinéraire
anchoa anchois
sentido sens
millar millier
acobardado dégonflé
leopoldo leopoldo
aleandro aleandro
ukan ukan
abundar abonder
comunidad communauté
teodoro teodoro
participante participant
mamífero mammifère
abbondanzieri abbondanzieri
ena ena
bileka bileka
augsburgo augsburg
bizkaina bizkaina
secar sécher
bellido bellido
intermediario intermédiaire
txuma txuma
ratificación ratification
impulsión impulsion
reflexión réflexion
enterado connaisseur
curva courbe
arkansas arkansas
alfa alfa
pecado péché
philip philip
trasero derrière
desescombro déblaiement
ahogar noyer
donatello donatello
indiscutiblemente incontestablement
expositor exposant
brigitte brigitte
ainhara ainhara
carmona carmona
enmoquetador moquetteur
universitario universitaire
fiebre fièvre
zizurkil zizurkil
aguri aguri
mustafa mustapha
postiguet postiguet
udf udf
viario routier
tello tello
alero auvent
par pair
clarificar éclaircir
envolver envelopper
diversión détente
evidencia évidence
ascensión ascension
martinon martinon
mérito mérite
goethe goethe
nouvel nouvel
jane jane
dacia dacie
ecologista écologiste
enormemente énormément
marianista marianiste
bogar ramer
murcia murcie
johnnie johnnie
fanatismo fanatisme
pyongyang pyongyang
perturbación perturbation
villabona villabona
circulante circulant
sentjens sentjens
kornel kornel
rarefacción raréfaction
lille lille
tramitar étudier
presentar présenter
aldomar aldomar
recomendación recommandation
calar caler
silencio silence
errar errer
gustav gustav
agoujil agoujil
originalidad originalité
salaberria salaberria
gardner gardner
torrijos torrijos
vestir habiller
inteligibilidad intelligibilité
aledaños alentours
mini mini
cuadrícula quadrillage
aprobar approuver
aconcagua aconcagua
armañac armagnac
voto voeu
suyo son
rechazo refus
ricardo ricardo
cadera hanche
notorio notoire
rodilla genou
buscar quérir
garona garonne
wisconsin wisconsin
pariente parent
listo prêt
genérico générique
zearra zearra
impugnación contestation
ganado bétail
exigir exiger
reductor réducteur
intentar tenter
micaela micaela
wielgus wielgus
almendra amande
coleman coleman
ine ine
concretar concrétiser
sagunt sagunto
horacio horace
entresuelo entresol
duplicación duplication
sufrir souffrir
avance avance
quinquenal quinquennal
endurecimiento durcissement
empeorar empirer
lamento lamentation
escocia écosse
resources resources
craso crassus
pensionista pensionnaire
amnistía amnistie
unir unir
otxandio otxandio
excesivo excessif
túnica tunique
santander santander
compacto compact
repartidor livreur
consultor consultant
jjoo jo
perpetuidad perpétuité
sacrificar sacrifier
anglicano anglican
héctor hèctor
paco paco
literatura littérature
aldaya aldaia
v v
disponible disponible
electromagnético électromagnétique
competidor concurrent
amorrortu amorrortu
quesería fromagerie
veracidad véracité
ramona ramona
alergia allergie
guantánamo guantanamo
octubre octobre
reformar réformer
billón billion
desaparición disparition
rex rex
heráclides héraclide
galleta biscuit
superior supérieur
cronología chronologie
adorar adorer
estratega tacticien
pertrechar munir
m m
incentivar encourager
vetel vetel
améscoa améscoa
agripina agrippine
negro noir
vacilar broncher
babilonia babylone
vallar barrer
colmar colmar
neptuno neptune
solo seul
mejor mieux
ecuación équation
scheffer scheffer
coalición coalition
victoria victoire
nanofísica nanophysique
bucholz bucholz
juana juana
interpretación interprétation
antirracista antiraciste
canfranc canfranc
consenso consensus
carintia carinthie
txabarri txabarri
deliberación délibération
procedente originaire
pascua pâques
iraní iranien
amro amro
vodka vodka
oeste ouest
apología apologie
gavà gavà
perdedor perdant
bages bages
illiano illiano
aranguren aranguren
deutsche deutsche
lola lola
judicialmente judiciairement
asesorar conseiller
promulgar promulguer
preocupar soucier
georgia géorgie
conquistar conquérir
declinación déclinaison
armenia armenia
abordar aborder
recodificación recodification
significado signification
paracaidista parachutiste
anders anders
chirac chirac
hoyinversión hoyinversión
singular singulier
seminario séminaire
egea egea
insulina insuline
obligar contraindre
isolux isolux
frío froid
marchar repartir
presencia présence
atacama atacama
woody woody
dinámico dynamique
artístico artistique
oceans oceans
juan juan
alcohol alcool
argel alger
noche soirée
bolsa sac
animar animer
mánager manager
diagonal diagonal
parker parker
mallorca majorque
xirivella chirivella
noja noja
al-agsa al-agsa
residuo déchet
psiquiatra psychiatre
mutualidad mutualité
rampa rampe
rsc rse
sudán soudan
hebridas hébrides
pompeyo pompée
ciclón cyclone
exasperación exaspération
bigote moustache
vizcaíno vizcaíno
yegua jument
lera lera
abandonar abandonner
atletismo athlétisme
grieta fente
censurar censurer
nuestro notre
redactor rédacteur
akos akos
cigarro cigare
cambiante changeant
calvados calvados
obstáculo obstacle
saint-pierre saint-pierre
arrasar détruire
sanguíneo sanguin
aouate aouate
abrazar embrasser
alpes alpes
multidisciplinar pluridisciplinaire
electoralista électoraliste
aduana douane
oscuridad obscurité
budismo bouddhisme
verdura légume
magullar meurtrir
casting casting
retroceso recul
mecanismo mécanisme
goma gomme
huella empreinte
voluntario volontaire
notificación faire-part
perspectiva perspective
soro soro
merino merino
satisfactorio satisfaisant
cuadrar cadrer
liberalidad libéralité
codo coude
meandro méandre
táctico tactique
peligrosidad dangerosité
presentación présentation
clavero clavero
como comme
geriasa geriasa
determinante déterminant
papel papier
cambio saute
dopante dopant
excepto hormis
orne orne
kocteto koctet
apartado alinéa
fax fax
comida repas
contusión meurtrissure
mediador médiateur
villanueva villanueva
reparación réparation
provenza provence
malentendido malentendu
lineal linéaire
invitación invitation
campo champ
fegatello fegatello
riego arrosage
curiosidad curiosité
anotar noter
gritar gueuler
botón bouton
suplemento supplément
campillo campillo
furia furie
mecha mèche
objetivo objectif
terminológico terminologique
cuchillo couteau
infraestructura infrastructure
hiroshima hiroshima
aerodinámico aérodynamique
arbide arbide
citibank citibank
obsoleto obsolète
diplomado diplômé
emergente émergent
semestral semestriel
pompidou pompidou
incoación commencement
amenazante menaçant
murmurar murmurer
incontrovertido incontestable
sentencia sentence
lazkao lazkao
lunes lundi
amiano amiano
veintena vingtaine
croata croate
desarchivar désarchiver
convertibilidad convertibilité
notificación notification
anastasia anastasie
manifestante manifestant
samarcanda samarkand
idealismo idéalisme
ordenación ordination
tolón toulon
intoxicación intoxication
margen rive
charleville-mézières charleville-mézières
cuándo quand
enérgicamente énergiquement
delors delors
txingudi txingudi
sustantivo substantif
lemán léman
cuanto combien
casa maison
andrew andrew
enseñanza enseignement
ardiente ardent
resentimiento ressentiment
mas mas
programación programmation
ruanda rwanda
koldo koldo
efindex efindex
corbera corbera
inhábil chômé
yurta yourte
respirar respirer
txus txus
sericicultura sériciculture
peregrinación pérégrination
adversario adversaire
contravalor contre-valeur
práctico pratique
dupont dupont
vidriera vitrail
cheste cheste
mirari mirari
familiarizar familiariser
integridad intégralité
deslocalización délocalisation
mosca mouche
guesnerie guesnerie
yang yang
llevar emporter
tras après
micrófono microphone
valencia valence
servilleta serviette
indonesia indonésie
admiración admiration
inconveniente inconvenant
françoise françoise
investigar enquêter
consensuar accorder
estructurado structuré
capadocia cappadoce
aliaksandr aliaksandr
estatus statut
borde bord
le lui
competir concourir
archanco archanco
aketa aketa
lima lime
gastronómico gastronomique
mayor âgé
mda mda
royo royo
kirguistán kirghizistan
oliver oliver
árbol arbre
cdn cdn
maldad méchanceté
competidor compétiteur
radiotelevisión radiotélévision
soportar endurer
abdelhadi abdelhadi
briz briz
espectáculo spectacle
abeac abeac
brote pousse
cuesta côte
karmona karmona
olor odeur
lecho lit
repuntar redresser
software logiciel
suficientemente suffisamment
luxación luxation
actualización actualisation
yvelines yvelines
pedir demander
mutismo mutisme
escalada escalade
united united
institución institution
puig puig
quincena quinzaine
aramburuzabala aramburuzabala
puntual ponctuel
sincero sincère
soberanía souveraineté
quién qui
abul abul
bercy bercy
hamilton hamilton
entretenido distrayant
moyano moyano
médico médecin
inmensidad immensité
regalar offrir
erauskin erauskin
pescador pêcheur
appathurai appathurai
repatriación rapatriement
intemporal intemporel
denigrante dégradant
relato récit
rolling rolling
empero néanmoins
conferir conférer
paso pas
englobar englober
cueva grotte
asentir acquiescer
sugerencia suggestion
entender comprendre
bipolaridad bipolarité
golondrina hirondelle
aparthotel appart-hôtel
expresar exprimer
curriculum curriculum
amilibia amilibia
guadalquivir guadalquivir
aramburu aramburu
fragmentación fragmentation
anibal hannibal
tusk tusk
mariehamn mariehamn
cr cr
último dernier
crédito crédit
doggystyle doggystyle
advección advection
mississippi mississippi
gemayel gemayel
elíseo élysée
privatización privatisation
angula civelle
cortar inciser
decapitación décapitation
mirar mirer
nintendo nintendo
candia candie
yangon rangún
reuters reuters
materialización matérialisation
suntuosidad somptuosité
kia kia
velux velux
divisar apercevoir
celia celia
acoger accueillir
arlette arlette
socialista socialiste
botsuana botswana
tiflis tbilissi
prenda pièce
stanislas stanislas
preocupante préoccupant
otro autrui
aplicable applicable
saco saco
arca coffre
valiente brave
espesura épaisseur
usufructo usufruit
profanación profanation
imma imma
pastilla cachet
zagreb zagreb
antón antón
vuestro votre
alea alea
vuelta tour
telefónica telefónica
heráclito héraclite
texaco texaco
repetidor répéteur
irigoyen irigoyen
acordonar encercler
devoción dévouement
antisemita antisémite
comunicante communicant
catedral cathédrale
txakolindegia txakolindegia
peligro danger
abrogación abrogation
marisma marais
bondad bonté
faroe féroé
villa villa
adena adena
accionista actionnaire
critérium critérium
foral foral
costumbre moeurs
gyurcsany gyurcsany
implicar impliquer
joachim joachim
sobresalto sursaut
chávez chávez
eva eva
facultad faculté
matías matías
silueta silhouette
kubo kubo
edificio édifice
gracias merci
intransigente intransigeant
interponer interposer
cuñada belle-soeur
alepo alep
sartre sartre
fresa fraise
observador observateur
suma somme
carné carnet
gara gara
stefano stefano
tony tony
estupendamente excellemment
andonios andonios
midway midway
proceso procès
implicado concerné
sobrepasar dépasser
reinvertir réinvestir
padre père
globalización globalisation
preso détenu
entidad établissement
jersey jersey
interposición interposition
investidura investiture
agic agic
andía andía
corro cercle
consagrar consacrer
franquicia franchise
tabaquismo tabagisme
capturar capturer
asociación association
tania tania
lyon lyon
baloncesto basket-ball
cocinero cuisinier
mordaz piquant
metálico métallique
diez dix
noveno neuvième
denegar dénier
trasiego trafic
dijon dijon
referencia référencement
estancamiento stagnation
cuanto combien
guión scénario
acotar borner
preciar estimer
enfatizar souligner
trias trias
olímpico olympique
sumar ajouter
juventud jeunesse
sultanato sultanat
refugio refuge
sustentar soutenir
brillo éclat
esclarecimiento éclaircissement
unanimidad unanimité
andoain andoain
qué que
haute-garonne haute-garonne
anne anne
comunicación comunication
abderrahman abderrahman
fusión fusion
autocontrol self-control
thomas thomas
alexa alexa
holanda hollande
ssl ssl
partido match
desventaja désavantage
vanesa vanesa
niort niort
afectivo affectif
bjoern bjoern
rogar supplier
macua macua
encina yeuse
nervioso énervé
navidad noël
basílica basilique
sumario sommaire
miga mie
miquel miquel
melómano mélomane
inés inés
crucial crucial
trampa piège
claro clairement
emblemático emblématique
candy-orio-isabel candy-orio-isabel
pedazo morceau
araia araia
aib aib
boletín bulletin
portería loge
finalidad finalité
paolo paolo
perfectamente parfaitement
gratis gratis
fresco fresque
adquisición acquisition
anacleto anaclet
jordan jordan
mañana matin
nave navire
simpático sympa
brutal brutal
mapfre mapfre
óvulo ovule
caída chute
inmaculada inmaculada
chipirón encornet
deportación déportation
interiormente intérieurement
